EC,PRESS,TEMP,DEPTH,ALT
0.08,954.80,24.13,-0.60,498.12,
0.04,955.20,24.14,-0.59,494.63,
0.06,954.90,24.15,-0.59,497.25,
0.00,954.80,24.16,-0.60,498.12,
0.02,954.40,24.17,-0.60,501.62,
0.04,955.00,24.18,-0.59,496.38,
0.02,954.10,24.21,-0.60,504.24,
0.02,954.60,24.22,-0.60,499.87,
0.00,954.50,24.24,-0.60,500.74,
0.00,954.70,24.26,-0.60,499.00,
0.04,954.90,24.27,-0.59,497.25,
0.08,954.40,24.30,-0.60,501.62,
0.02,954.90,24.32,-0.59,497.25,
0.04,954.40,24.34,-0.60,501.62,
0.06,954.50,24.36,-0.60,500.74,
0.04,954.20,24.37,-0.60,503.36,
0.06,954.50,24.38,-0.60,500.74,
0.04,954.40,24.39,-0.60,501.62,
0.04,953.80,24.40,-0.61,506.86,
0.04,954.60,24.41,-0.60,499.87,
0.02,954.70,24.42,-0.60,499.00,
0.11,954.50,24.43,-0.60,500.74,
0.00,954.50,24.43,-0.60,500.74,
0.06,954.40,24.44,-0.60,501.62,
0.08,954.30,24.45,-0.60,502.49,
0.06,954.50,24.46,-0.60,500.74,
0.06,954.90,24.46,-0.59,497.25,
0.06,954.00,24.47,-0.60,505.11,
0.02,954.70,24.47,-0.60,499.00,
0.08,954.30,24.48,-0.60,502.49,
0.02,954.50,24.49,-0.60,500.74,
0.04,954.70,24.50,-0.60,499.00,
0.08,954.90,24.51,-0.59,497.25,
0.04,954.80,24.51,-0.60,498.12,
0.06,954.80,24.52,-0.60,498.12,
0.10,954.80,24.53,-0.60,498.12,
0.04,954.60,24.54,-0.60,499.87,
0.08,954.60,24.55,-0.60,499.87,
0.06,954.50,24.56,-0.60,500.74,
0.06,954.50,24.57,-0.60,500.74,
0.08,954.60,24.58,-0.60,499.87,
0.06,954.40,24.59,-0.60,501.62,
0.08,954.70,24.60,-0.60,499.00,
0.08,954.40,24.64,-0.60,501.62,
0.06,954.60,24.69,-0.60,499.87,
0.04,954.60,24.73,-0.60,499.87,
0.08,954.40,24.76,-0.60,501.62,
0.08,954.10,24.78,-0.60,504.24,
0.02,954.50,24.79,-0.60,500.74,
0.00,954.40,24.79,-0.60,501.62,
0.08,954.60,24.80,-0.60,499.87,
0.06,954.30,24.80,-0.60,502.49,
0.06,954.70,24.79,-0.60,499.00,
0.04,954.50,24.79,-0.60,500.74,
0.06,954.70,24.79,-0.60,499.00,
0.04,954.60,24.78,-0.60,499.87,
0.04,954.60,24.78,-0.60,499.87,
0.04,955.00,24.78,-0.59,496.38,
0.11,954.60,24.78,-0.60,499.87,
0.11,954.50,24.78,-0.60,500.74,
0.06,955.00,24.78,-0.59,496.38,
0.11,954.80,24.78,-0.60,498.12,
0.00,954.40,24.78,-0.60,501.62,
0.08,954.60,24.78,-0.60,499.87,
0.08,954.40,24.79,-0.60,501.62,
0.11,954.50,24.79,-0.60,500.74,
0.06,954.30,24.80,-0.60,502.49,
0.02,954.60,24.79,-0.60,499.87,
0.11,954.30,24.80,-0.60,502.49,
0.04,954.40,24.80,-0.60,501.62,
0.06,954.40,24.80,-0.60,501.62,
0.04,954.60,24.81,-0.60,499.87,
0.06,954.50,24.82,-0.60,500.74,
0.06,954.30,24.82,-0.60,502.49,
0.13,954.40,24.82,-0.60,501.62,
0.00,954.80,24.83,-0.60,498.12,
0.02,954.90,24.83,-0.59,497.25,
0.11,954.20,24.83,-0.60,503.36,
0.04,953.80,24.84,-0.61,506.86,
0.08,954.90,24.85,-0.59,497.25,
0.11,954.70,24.85,-0.60,499.00,
0.08,954.50,24.86,-0.60,500.74,
0.08,954.40,24.86,-0.60,501.62,
0.08,954.30,24.87,-0.60,502.49,
0.08,954.70,24.87,-0.60,499.00,
0.08,955.20,24.88,-0.59,494.63,
0.11,954.10,24.90,-0.60,504.24,
0.04,954.20,24.90,-0.60,503.36,
0.10,954.80,24.90,-0.60,498.12,
0.11,954.60,24.90,-0.60,499.87,
0.06,954.40,24.91,-0.60,501.62,
0.11,954.80,24.91,-0.60,498.12,
0.11,954.50,24.91,-0.60,500.74,
0.13,954.60,24.91,-0.60,499.87,
0.08,954.70,24.91,-0.60,499.00,
0.11,954.30,24.92,-0.60,502.49,
0.08,954.70,24.92,-0.60,499.00,
0.08,954.70,24.92,-0.60,499.00,
0.11,954.60,24.93,-0.60,499.87,
0.11,954.30,24.93,-0.60,502.49,
0.08,954.00,24.94,-0.60,505.11,
0.00,954.10,24.93,-0.60,504.24,
0.11,954.40,24.94,-0.60,501.62,
0.08,954.30,24.94,-0.60,502.49,
0.06,954.30,24.94,-0.60,502.49,
0.13,954.60,24.95,-0.60,499.87,
0.15,954.60,24.95,-0.60,499.87,
0.06,954.20,24.95,-0.60,503.36,
0.08,954.40,24.96,-0.60,501.62,
0.11,954.50,24.96,-0.60,500.74,
0.04,954.70,24.96,-0.60,499.00,
0.06,954.60,24.97,-0.60,499.87,
0.11,954.70,24.97,-0.60,499.00,
0.15,954.50,24.98,-0.60,500.74,
0.08,954.10,24.98,-0.60,504.24,
0.00,954.30,24.98,-0.60,502.49,
0.06,954.30,24.98,-0.60,502.49,
0.06,954.70,24.98,-0.60,499.00,
0.08,954.60,24.98,-0.60,499.87,
0.11,954.30,24.99,-0.60,502.49,
0.08,954.60,24.99,-0.60,499.87,
0.08,953.80,24.99,-0.61,506.86,
0.13,954.40,25.00,-0.60,501.62,
0.06,953.70,25.00,-0.61,507.73,
0.11,953.80,25.01,-0.61,506.86,
0.13,953.90,25.01,-0.60,505.98,
0.06,953.90,25.01,-0.60,505.98,
0.08,953.90,25.02,-0.60,505.98,
0.00,954.30,25.00,-0.60,502.49,
0.11,953.30,25.02,-0.61,511.23,
0.06,954.30,25.02,-0.60,502.49,
0.11,954.60,25.02,-0.60,499.87,
0.06,954.10,25.03,-0.60,504.24,
0.11,953.80,25.03,-0.61,506.86,
0.08,953.70,25.03,-0.61,507.73,
0.11,954.50,25.04,-0.60,500.74,
0.11,954.30,25.04,-0.60,502.49,
0.06,954.00,25.05,-0.60,505.11,
0.06,954.30,25.05,-0.60,502.49,
0.11,954.10,25.05,-0.60,504.24,
0.08,953.90,25.05,-0.60,505.98,
0.00,954.40,25.06,-0.60,501.62,
0.11,954.20,25.06,-0.60,503.36,
0.15,954.50,25.06,-0.60,500.74,
0.06,954.00,25.07,-0.60,505.11,
0.11,953.90,25.07,-0.60,505.98,
0.13,954.30,25.07,-0.60,502.49,
0.08,953.90,25.07,-0.60,505.98,
0.15,954.10,25.07,-0.60,504.24,
0.11,954.50,25.07,-0.60,500.74,
0.08,954.50,25.07,-0.60,500.74,
0.08,954.10,25.09,-0.60,504.24,
0.06,954.00,25.09,-0.60,505.11,
0.06,954.00,25.10,-0.60,505.11,
0.00,954.10,25.10,-0.60,504.24,
0.13,953.60,25.10,-0.61,508.61,
0.11,954.20,25.10,-0.60,503.36,
0.06,954.20,25.09,-0.60,503.36,
0.11,954.20,25.09,-0.60,503.36,
0.11,954.30,25.09,-0.60,502.49,
0.11,954.50,25.09,-0.60,500.74,
0.08,954.10,25.09,-0.60,504.24,
0.13,954.00,25.08,-0.60,505.11,
0.13,954.10,25.08,-0.60,504.24,
0.11,954.60,25.08,-0.60,499.87,
0.08,954.20,25.08,-0.60,503.36,
0.11,954.10,25.08,-0.60,504.24,
0.00,953.90,25.07,-0.60,505.98,
0.08,954.10,25.07,-0.60,504.24,
0.04,954.30,25.06,-0.60,502.49,
0.11,953.80,25.06,-0.61,506.86,
0.11,954.00,25.06,-0.60,505.11,
0.11,954.30,25.05,-0.60,502.49,
0.08,954.00,25.05,-0.60,505.11,
0.11,954.10,25.05,-0.60,504.24,
0.06,953.80,25.05,-0.61,506.86,
0.06,954.40,25.04,-0.60,501.62,
0.13,954.40,25.04,-0.60,501.62,
0.11,954.00,25.03,-0.60,505.11,
0.08,954.00,25.03,-0.60,505.11,
0.13,954.20,25.03,-0.60,503.36,
0.10,953.80,25.02,-0.61,506.86,
0.04,954.00,25.02,-0.60,505.11,
0.06,954.20,25.01,-0.60,503.36,
0.13,953.60,25.02,-0.61,508.61,
0.13,953.90,25.01,-0.60,505.98,
0.13,954.20,25.01,-0.60,503.36,
0.06,954.10,25.00,-0.60,504.24,
0.13,954.20,25.00,-0.60,503.36,
0.06,954.20,25.00,-0.60,503.36,
0.08,953.80,25.00,-0.61,506.86,
0.08,954.20,25.00,-0.60,503.36,
0.13,954.30,25.00,-0.60,502.49,
0.11,954.20,25.00,-0.60,503.36,
0.00,954.20,25.01,-0.60,503.36,
0.11,954.00,25.01,-0.60,505.11,
0.13,953.90,25.01,-0.60,505.98,
0.11,954.30,25.01,-0.60,502.49,
0.06,953.90,25.01,-0.60,505.98,
0.06,953.70,25.01,-0.61,507.73,
0.08,954.20,25.01,-0.60,503.36,
0.06,954.10,25.01,-0.60,504.24,
0.08,953.40,25.01,-0.61,510.35,
0.08,953.70,25.01,-0.61,507.73,
0.11,954.10,25.01,-0.60,504.24,
0.08,954.30,25.00,-0.60,502.49,
0.06,954.10,25.00,-0.60,504.24,
0.00,954.10,25.00,-0.60,504.24,
0.08,954.40,25.00,-0.60,501.62,
0.11,954.50,25.00,-0.60,500.74,
0.11,953.70,25.00,-0.61,507.73,
0.06,953.80,25.00,-0.61,506.86,
0.11,954.20,25.00,-0.60,503.36,
0.11,954.10,25.00,-0.60,504.24,
0.08,954.10,25.00,-0.60,504.24,
0.06,954.20,25.00,-0.60,503.36,
0.13,954.20,25.00,-0.60,503.36,
0.15,954.10,25.01,-0.60,504.24,
0.15,954.40,25.01,-0.60,501.62,
0.06,953.70,25.01,-0.61,507.73,
0.00,954.10,25.00,-0.60,504.24,
0.06,953.30,25.00,-0.61,511.23,
0.11,954.40,25.00,-0.60,501.62,
0.13,954.70,25.00,-0.60,499.00,
0.04,954.00,25.00,-0.60,505.11,
0.08,954.40,24.99,-0.60,501.62,
0.11,953.80,25.00,-0.61,506.86,
0.08,953.80,24.99,-0.61,506.86,
