cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.13,4.06,955.70,26.73,-0.59,490.27
0.11,4.06,955.80,26.73,-0.59,489.40
0.13,4.12,955.70,26.73,-0.59,490.27
0.08,4.09,955.30,26.74,-0.59,493.76
0.06,4.05,956.10,26.73,-0.58,486.78
0.11,4.05,955.50,26.73,-0.59,492.01
0.06,4.06,955.90,26.72,-0.58,488.52
0.04,4.06,956.00,26.72,-0.58,487.65
0.11,4.06,955.60,26.72,-0.59,491.14
0.08,4.06,955.40,26.71,-0.59,492.88
0.11,4.06,955.80,26.71,-0.59,489.40
0.04,4.06,956.00,26.71,-0.58,487.65
0.08,4.06,955.70,26.70,-0.59,490.27
0.08,4.06,955.90,26.70,-0.58,488.52
0.06,4.06,955.50,26.70,-0.59,492.01
0.08,4.06,955.50,26.69,-0.59,492.01
0.06,4.06,956.20,26.69,-0.58,485.91
0.11,4.06,955.60,26.68,-0.59,491.14
0.08,4.06,955.70,26.68,-0.59,490.27
0.11,4.06,955.30,26.67,-0.59,493.76
0.06,4.06,955.70,26.68,-0.59,490.27
0.11,4.06,955.80,26.67,-0.59,489.40
0.06,4.06,955.50,26.67,-0.59,492.01
0.08,4.06,955.60,26.67,-0.59,491.14
0.11,4.06,955.60,26.66,-0.59,491.14
0.06,4.06,955.80,26.65,-0.59,489.40
0.11,4.06,955.80,26.65,-0.59,489.40
0.04,4.05,955.50,26.65,-0.59,492.01
0.08,4.06,955.70,26.64,-0.59,490.27
0.06,4.06,955.70,26.64,-0.59,490.27
0.11,4.06,955.70,26.63,-0.59,490.27
0.04,4.06,955.50,26.63,-0.59,492.01
0.15,4.06,955.80,26.62,-0.59,489.40
0.08,4.06,955.80,26.62,-0.59,489.40
0.04,4.06,955.10,26.61,-0.59,495.50
0.08,4.06,955.80,26.61,-0.59,489.40
0.04,4.05,955.70,26.60,-0.59,490.27
0.11,4.06,955.50,26.60,-0.59,492.01
0.11,4.06,956.10,26.59,-0.58,486.78
0.15,4.06,955.80,26.58,-0.59,489.40
0.06,4.06,955.60,26.58,-0.59,491.14
0.08,4.06,955.90,26.57,-0.58,488.52
0.11,4.05,955.80,26.57,-0.59,489.40
0.11,4.06,955.60,26.56,-0.59,491.14
0.08,4.06,955.80,26.56,-0.59,489.40
0.08,4.06,955.60,26.55,-0.59,491.14
0.08,4.06,955.80,26.55,-0.59,489.40
