EC,PRESS,TEMP,DEPTH,ALT
0.53,961.20,23.46,-0.53,442.40,
0.53,961.50,23.46,-0.53,439.79,
0.53,961.30,23.45,-0.53,441.53,
0.49,961.30,23.45,-0.53,441.53,
0.47,961.20,23.45,-0.53,442.40,
0.47,961.20,23.44,-0.53,442.40,
0.49,960.70,23.45,-0.53,446.74,
0.45,960.80,23.45,-0.53,445.87,
0.45,961.50,23.45,-0.53,439.79,
0.45,961.60,23.44,-0.53,438.92,
0.47,961.30,23.44,-0.53,441.53,
0.47,961.10,23.44,-0.53,443.26,
0.40,960.90,23.44,-0.53,445.00,
0.45,961.50,23.43,-0.53,439.79,
0.45,961.60,23.43,-0.53,438.92,
0.47,960.70,23.43,-0.53,446.74,
0.47,960.90,23.42,-0.53,445.00,
0.51,961.40,23.43,-0.53,440.66,
0.40,961.30,23.42,-0.53,441.53,
0.42,961.00,23.42,-0.53,444.13,
0.45,961.50,23.42,-0.53,439.79,
0.40,961.50,23.42,-0.53,439.79,
0.42,961.10,23.42,-0.53,443.26,
0.42,961.00,23.43,-0.53,444.13,
0.36,961.10,23.43,-0.53,443.26,
0.40,960.90,23.43,-0.53,445.00,
0.36,961.40,23.42,-0.53,440.66,
0.36,961.00,23.41,-0.53,444.13,
0.32,961.10,23.41,-0.53,443.26,
0.36,961.50,23.40,-0.53,439.79,
0.34,961.00,23.40,-0.53,444.13,
0.36,961.20,23.40,-0.53,442.40,
0.32,961.00,23.40,-0.53,444.13,
0.36,961.00,23.39,-0.53,444.13,
0.38,961.30,23.39,-0.53,441.53,
0.34,961.40,23.39,-0.53,440.66,
0.34,961.10,23.38,-0.53,443.26,
0.30,960.90,23.37,-0.53,445.00,
0.20,960.90,23.37,-0.53,445.00,
0.28,960.90,23.37,-0.53,445.00,
0.25,961.30,23.37,-0.53,441.53,
0.25,961.20,23.36,-0.53,442.40,
0.28,961.30,23.36,-0.53,441.53,
0.25,960.80,23.35,-0.53,445.87,
0.21,960.80,23.34,-0.53,445.87,
0.28,961.30,23.33,-0.53,441.53,
0.25,961.00,23.32,-0.53,444.13,
0.21,961.40,23.32,-0.53,440.66,
0.21,960.90,23.31,-0.53,445.00,
0.23,961.00,23.30,-0.53,444.13,
0.23,961.00,23.29,-0.53,444.13,
0.19,961.40,23.28,-0.53,440.66,
0.10,961.30,23.28,-0.53,441.53,
0.23,961.30,23.27,-0.53,441.53,
0.21,961.30,23.26,-0.53,441.53,
0.21,961.30,23.26,-0.53,441.53,
0.23,961.20,23.25,-0.53,442.40,
0.19,961.60,23.24,-0.53,438.92,
0.19,961.60,23.24,-0.53,438.92,
0.21,961.40,23.24,-0.53,440.66,
0.21,961.20,23.23,-0.53,442.40,
0.17,961.30,23.23,-0.53,441.53,
0.15,961.00,23.22,-0.53,444.13,
0.15,960.70,23.21,-0.53,446.74,
0.19,961.10,23.21,-0.53,443.26,
0.10,961.60,23.20,-0.53,438.92,
0.15,961.20,23.20,-0.53,442.40,
0.13,961.00,23.19,-0.53,444.13,
0.13,961.00,23.18,-0.53,444.13,
0.13,961.40,23.17,-0.53,440.66,
0.11,960.80,23.17,-0.53,445.87,
0.13,961.30,23.16,-0.53,441.53,
0.06,961.40,23.15,-0.53,440.66,
0.06,961.70,23.15,-0.52,438.05,
0.04,961.50,23.14,-0.53,439.79,
0.06,961.20,23.14,-0.53,442.40,
0.08,961.10,23.14,-0.53,443.26,
0.11,961.50,23.14,-0.53,439.79,
0.00,961.20,23.13,-0.53,442.40,
0.06,961.30,23.13,-0.53,441.53,
0.11,961.40,23.13,-0.53,440.66,
0.11,960.80,23.13,-0.53,445.87,
0.11,961.20,23.13,-0.53,442.40,
0.06,961.20,23.13,-0.53,442.40,
0.11,960.80,23.12,-0.53,445.87,
0.11,961.40,23.13,-0.53,440.66,
0.08,961.50,23.13,-0.53,439.79,
0.11,961.20,23.12,-0.53,442.40,
0.08,961.20,23.12,-0.53,442.40,
0.08,961.30,23.12,-0.53,441.53,
0.11,961.50,23.12,-0.53,439.79,
0.00,960.90,23.12,-0.53,445.00,
0.06,961.20,23.12,-0.53,442.40,
0.11,961.30,23.12,-0.53,441.53,
0.11,960.70,23.12,-0.53,446.74,
0.06,961.40,23.12,-0.53,440.66,
0.08,961.40,23.12,-0.53,440.66,
0.08,961.10,23.11,-0.53,443.26,
0.08,961.40,23.11,-0.53,440.66,
0.11,961.40,23.11,-0.53,440.66,
0.08,961.80,23.11,-0.52,437.19,
0.08,960.80,23.10,-0.53,445.87,
0.08,961.50,23.10,-0.53,439.79,
0.06,961.40,23.10,-0.53,440.66,
0.06,961.40,23.10,-0.53,440.66,
0.00,961.30,23.10,-0.53,441.53,
0.08,961.00,23.10,-0.53,444.13,
0.08,961.20,23.10,-0.53,442.40,
0.11,961.30,23.10,-0.53,441.53,
0.08,961.20,23.10,-0.53,442.40,
0.11,961.00,23.10,-0.53,444.13,
0.11,961.30,23.09,-0.53,441.53,
0.11,961.10,23.08,-0.53,443.26,
0.11,961.30,23.08,-0.53,441.53,
0.04,961.20,23.08,-0.53,442.40,
0.11,961.70,23.07,-0.52,438.05,
0.06,961.20,23.07,-0.53,442.40,
0.08,961.10,23.07,-0.53,443.26,
0.10,961.60,23.03,-0.53,438.92,
0.06,960.70,23.05,-0.53,446.74,
0.06,961.20,23.05,-0.53,442.40,
0.06,961.30,23.05,-0.53,441.53,
0.08,961.20,23.04,-0.53,442.40,
0.11,961.40,23.04,-0.53,440.66,
0.11,961.10,23.04,-0.53,443.26,
0.06,961.30,23.04,-0.53,441.53,
0.11,960.80,23.04,-0.53,445.87,
0.08,961.50,23.04,-0.53,439.79,
0.08,961.20,23.04,-0.53,442.40,
0.08,961.40,23.04,-0.53,440.66,
0.08,961.10,23.05,-0.53,443.26,
0.00,961.40,23.05,-0.53,440.66,
0.06,961.40,23.05,-0.53,440.66,
0.08,961.40,23.05,-0.53,440.66,
0.08,961.30,23.05,-0.53,441.53,
0.04,961.40,23.06,-0.53,440.66,
0.08,961.50,23.06,-0.53,439.79,
0.08,961.60,23.06,-0.53,438.92,
0.08,961.20,23.07,-0.53,442.40,
0.06,961.50,23.08,-0.53,439.79,
0.06,961.20,23.08,-0.53,442.40,
0.11,961.00,23.08,-0.53,444.13,
0.11,961.70,23.08,-0.52,438.05,
0.04,961.30,23.08,-0.53,441.53,
0.00,961.40,23.07,-0.53,440.66,
0.08,961.40,23.07,-0.53,440.66,
0.08,961.30,23.07,-0.53,441.53,
