EC,PRESS,TEMP,DEPTH,ALT
1.12,954.30,25.83,-0.60,502.49,
1.06,954.20,25.82,-0.60,503.36,
1.01,954.00,25.82,-0.60,505.11,
1.00,954.20,25.81,-0.60,503.36,
1.08,954.10,25.81,-0.60,504.24,
0.98,954.10,25.80,-0.60,504.24,
1.08,954.20,25.79,-0.60,503.36,
1.02,954.10,25.79,-0.60,504.24,
1.02,954.30,25.78,-0.60,502.49,
1.00,953.90,25.78,-0.60,505.98,
0.95,953.60,25.77,-0.61,508.61,
0.95,953.90,25.76,-0.60,505.98,
0.95,954.00,25.75,-0.60,505.11,
1.00,954.20,25.74,-0.60,503.36,
0.98,954.50,25.73,-0.60,500.74,
0.90,954.60,25.73,-0.60,499.87,
0.93,953.80,25.72,-0.61,506.86,
0.95,954.10,25.71,-0.60,504.24,
0.91,954.40,25.70,-0.60,501.62,
0.93,954.10,25.69,-0.60,504.24,
0.87,954.10,25.68,-0.60,504.24,
0.91,953.70,25.68,-0.61,507.73,
0.87,954.50,25.66,-0.60,500.74,
0.87,953.90,25.66,-0.60,505.98,
0.83,954.10,25.66,-0.60,504.24,
0.87,954.00,25.65,-0.60,505.11,
0.87,954.00,25.65,-0.60,505.11,
0.83,953.90,25.65,-0.60,505.98,
0.80,954.20,25.65,-0.60,503.36,
0.87,954.20,25.65,-0.60,503.36,
0.93,953.80,25.64,-0.61,506.86,
0.91,954.50,25.64,-0.60,500.74,
0.83,954.10,25.63,-0.60,504.24,
0.87,953.70,25.64,-0.61,507.73,
0.83,953.80,25.63,-0.61,506.86,
0.83,954.20,25.63,-0.60,503.36,
0.83,953.60,25.63,-0.61,508.61,
0.76,953.80,25.62,-0.61,506.86,
0.78,954.30,25.61,-0.60,502.49,
0.76,954.30,25.61,-0.60,502.49,
0.76,953.70,25.61,-0.61,507.73,
0.70,953.70,25.60,-0.61,507.73,
0.81,954.20,25.59,-0.60,503.36,
1.19,953.60,25.59,-0.61,508.61,
1.55,953.90,25.58,-0.60,505.98,
1.51,953.80,25.57,-0.61,506.86,
1.61,954.20,25.57,-0.60,503.36,
1.55,954.10,25.56,-0.60,504.24,
1.55,954.30,25.55,-0.60,502.49,
1.44,954.00,25.54,-0.60,505.11,
1.29,953.90,25.53,-0.60,505.98,
1.38,954.10,25.53,-0.60,504.24,
0.98,954.00,25.52,-0.60,505.11,
0.98,954.10,25.51,-0.60,504.24,
0.90,954.10,25.50,-0.60,504.24,
0.93,953.80,25.49,-0.61,506.86,
0.95,953.80,25.49,-0.61,506.86,
0.98,954.10,25.48,-0.60,504.24,
0.93,954.40,25.47,-0.60,501.62,
0.98,953.80,25.46,-0.61,506.86,
0.93,954.10,25.46,-0.60,504.24,
0.95,953.70,25.45,-0.61,507.73,
0.89,953.90,25.44,-0.60,505.98,
1.00,953.90,25.44,-0.60,505.98,
0.87,953.70,25.43,-0.61,507.73,
0.87,954.30,25.42,-0.60,502.49,
0.85,954.00,25.42,-0.60,505.11,
0.70,953.70,25.41,-0.61,507.73,
0.76,953.80,25.41,-0.61,506.86,
0.78,953.80,25.40,-0.61,506.86,
0.76,954.00,25.40,-0.60,505.11,
0.74,954.30,25.41,-0.60,502.49,
0.76,954.20,25.41,-0.60,503.36,
0.85,954.30,25.40,-0.60,502.49,
0.81,954.40,25.40,-0.60,501.62,
0.76,953.70,25.41,-0.61,507.73,
0.81,954.20,25.41,-0.60,503.36,
0.78,953.90,25.41,-0.60,505.98,
0.78,954.50,25.41,-0.60,500.74,
0.74,954.40,25.41,-0.60,501.62,
0.70,954.40,25.42,-0.60,501.62,
